CATALOGO SEMESTRE:2023-1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
DETALLE DE ASIGNATURAS,,,,,,,,,
Nro,CURSO,NOMBRE DE CURSO,,CR,CAT,REQUISITO,N° SEM,OBS,CURRICULA
,,BATALLANOS-ENCISO-ERNETS,MA,[18-20],T,,EC-201,2,
,,BATALLANOS-ENCISO-ERNETS,VI,[18-20],P,,EC-201,2,
27,EC602AEO,ANÁLISIS DE COSTOS Y FORMULACIÓN DE PRESUPUESTOS,,4,OEFE,CO902 y ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,GONZALES-BOZA-JUAN ABEL,MA,[07-09],T,,EC-201,2,
,,GONZALES-BOZA-JUAN ABEL,JU,[07-09],P,,EC-201,2,
,,GONZALES-BOZA-JUAN ABEL,VI,[08-09],T,,EC-201,1,
28,EC602BEO,ANÁLISIS DE COSTOS Y FORMULACIÓN DE PRESUPUESTOS,,4,OEFE,CO902 y ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,GONZALES-BOZA-JUAN ABEL,LU,[18-20],T,,VIRT 1 EO,2,
,,GONZALES-BOZA-JUAN ABEL,MI,[18-20],P,,VIRT 1 EO,2,
,,GONZALES-BOZA-JUAN ABEL,JU,[18-19],T,,VIRT 1 EO,1,
29,ME176AEO,ESTADÍSTICA ECONÓMICA II,,4,OEFE,ME175,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,PAUCAR-CARLOS-GUILLERMO,LU,[09-11],T,,VIRT 2 EO,2,
,,PAUCAR-CARLOS-GUILLERMO,MI,[09-11],P,,VIRT 2 EO,2,
,,PAUCAR-CARLOS-GUILLERMO,JU,[11-12],T,,VIRT 2 EO,1,
30,ME176BEO,ESTADÍSTICA ECONÓMICA II,,4,OEFE,ME175,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,CENTENO-HUAMANI-EDGAR,LU,[16-18],T,,VIRT 2 EO,2,
,,CENTENO-HUAMANI-EDGAR,MI,[16-18],P,,VIRT 2 EO,2,
,,CENTENO-HUAMANI-EDGAR,VI,[16-17],T,,VIRT 2 EO,1,
31,EC601AEO,MACROECONOMÍA I,,4,OEFE,EC902 y ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,BENAVENTE-GARCIA-JEAN PAUL,LU,[11-13],T,,EC-303,2,
,,BENAVENTE-GARCIA-JEAN PAUL,MI,[11-13],P,,EC-303,2,
,,BENAVENTE-GARCIA-JEAN PAUL,VI,[09-10],T,,EC-303,1,
32,EC601BEO,MACROECONOMÍA I,,4,OEFE,EC902 y ME185,3,,PLAN CURRICULAR 2017
,,Docente,Dia,Horario,Tipo,Grupo,Aula,Horas,
,,GARCIA-PACHECO-RUTH MERCEDES,MA,[14-16],T,,EC-303,2,
,,GARCIA-PACHECO-RUTH MERCEDES,JU,[14-16],P,,EC-303,2,
,,GARCIA-PACHECO-RUTH MERCEDES,VI,[15-16],T,,EC-303,1,
